Time,Monday,Tuesday,Wednesday,Thursday,Friday
9:00,,Laura Driessen,Anell Cornejo,Tom Evans-Soma,Peter Tuthill
9:15,,May Gade Pedersen,Lorenzo Martinelli,Emma Brown,Shrishmoy Ray
9:30,Wecome,Adithya Gudalur Balasubramaniam,Jeremy Bailey,Chelsea Huang,Max Charles
9:45,Tim Bedding,Anuj Gautam,Courtney Crawford,Margo Thornton,Erica Thygesen
10:00,Bernhard Mueller,Kayla Martin,Axel Raboonik,Owen Downes,Thomas Plunkett
10:15,Han Shen,Michael Albrow,Sven Buder,Alia Pollard,Michael Albrow
10:30,Coffee,Coffee,Coffee,Coffee,Coffee
11:00,Abhinav Govindan Iyer,Yingxiang Wang,Jasmine Anderson-Baldwin,Jay Rawlinson,Mike Ireland
11:15,Mitchell Hooymans,Mara Bernizzoni,Chloe Wilkins,Ali Pourmand,Simon Murphy
11:30,Chunliang Mu,Nastaran Farhang,Jack Nibbs,Laura Venuti,Joachim Krüger
11:45,Alexey Bobrick,Ryan White,Giacomo Cordoni,Michael Elston,Md Redyan Ahmed
12:00,Lunch,Lunch,Lunch,Lunch,Lunch
2:00,Daniel Zucker,Siddhartha Saikia,Ethan Bull,Chris Tinney,Angharad Weeks
2:15,Ana Lourdes Juarez Garcia,Lachlan Hobart,Maja Jablonska,Nicholas Borsato,Joel Ong
2:30,Dennis Stello,Muhammad Fajrin,Holger Baumgardt,Belinda Nicholson,Tiasha Biswas
2:45,Kovi Rose,Jonatan Rudrasingam,Conaire Deagan,Priyashkumar Mistry,Shashank Dholakia
3:00,Ankita Mondal,Axelle Raffin,Sahel Dey,Evgeni Grishin,Karen Pollard
3:15,Filip Chatys,Giada Casali,Arnab Chowhan,Jeremy Bailey,Final remarks
3:30,Coffee,Coffee,Coffee,Coffee,End
4:00,Aldo Mura Guzmán,Diego Ulloa-Solis,SPA Discussion,Benjamin Pope,
4:15,Sreenivasan Kalarickal Ramachandra,Yu Wing Joshua Lee,SPA Discussion,Marketplace Planets,
4:30,Riley Thai,Marketplace Stars,SPA Discussion,Marketplace Planets,
4:45,Tom Love,Marketplace Stars,SPA Discussion,,